week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38119.05,39242.9902,take_profit,0,2172785.85,1086.39,1118.43,4473.7,2231258.31,57386.07,2.6398
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121560.75,119440.25,friday_liquidation,4,2188093.5,1094.05,1074.96,4299.85,2144549.69,-44637.86,-2.039
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147573.75,143428.25,friday_liquidation,4,2213606.25,1106.8,1075.71,4302.85,2146045.19,-68667.86,-3.1005
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,47,47823.9,45409.9886,stop_loss,2,2247723.3,1123.86,1067.13,4268.54,2128933.79,-119913.37,-5.3322
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,285,10365.18,10670.7973,take_profit,1,2954076.3,1477.04,1520.59,6082.35,3033574.3,78020.96,2.6398
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89044.5,91669.9771,take_profit,1,2938468.5,1469.23,1512.55,6050.22,3017546.47,77608.74,2.6398
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,108,27363.675,28170.493,take_profit,1,2955276.9,1477.64,1521.21,6084.83,3034807.21,78052.67,2.6398
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,273,33266.625,31587.4921,stop_loss,1,9081788.62,4540.89,4311.69,17246.77,8601826.88,-484502.64,-5.3322
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181590.75,186944.9533,take_profit,0,907953.75,453.98,467.36,1869.45,932387.95,23980.23,2.6398
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,27,37114.548,38208.8704,take_profit,0,1002092.8,501.05,515.82,2063.28,1029060.4,26466.56,2.6398
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,141,7403.7,7621.9981,take_profit,1,1043921.7,521.96,537.35,2149.4,1072014.98,27571.32,2.6398
