week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38111.43,39242.9965,take_profit,0,2172351.51,325.85,335.53,3355.28,2233159.99,60482.63,2.7838
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121536.45,119464.15,friday_liquidation,4,2187656.1,328.15,322.55,3225.53,2146806.61,-41177.63,-1.882
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147544.25,143456.95,friday_liquidation,4,2213163.75,331.97,322.78,3227.78,2148303.69,-65192.03,-2.9452
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47814.34,45409.9959,stop_loss,2,2342902.66,351.44,333.76,3337.63,2221418.4,-121835.69,-5.1994
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,285,10363.108,10670.799,take_profit,1,2953485.78,443.02,456.18,4561.77,3036159.78,82230.98,2.7838
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89026.7,91669.9917,take_profit,1,2937881.1,440.68,453.77,4537.66,3020118.3,81796.51,2.7838
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,109,27358.205,28170.4975,take_profit,1,2982044.34,447.31,460.59,4605.88,3065517.76,83026.11,2.7838
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,274,33259.975,31587.4972,stop_loss,1,9113233.15,1366.98,1298.25,12982.46,8640693.51,-473906.62,-5.1994
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181554.45,186944.9832,take_profit,0,907772.25,136.17,140.21,1402.09,933182.62,25274.2,2.7838
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,28,37107.1288,38208.8766,take_profit,0,1038999.61,155.85,160.48,1604.77,1068083.29,28927.84,2.7838
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,145,7402.22,7621.9993,take_profit,1,1073321.9,161.0,165.78,1657.78,1103366.34,29883.44,2.7838
2020-02-03,2020-01-31,2020-02-03,2020-02-07,006280,녹십자,fallback,8,124037.2,122463.25,friday_liquidation,4,992297.6,148.84,146.96,1469.56,978089.49,-14356.96,-1.4466
2020-02-03,2020-01-31,2020-02-03,2020-02-03,282330,BGF리테일,fallback,6,165049.5,169949.9847,take_profit,0,990297.0,148.54,152.95,1529.55,1018017.4,27571.86,2.7838
2020-02-03,2020-01-31,2020-02-03,2020-02-04,267260,HD현대일렉트릭,fallback,120,9692.907,9980.6991,take_profit,1,1163148.84,174.47,179.65,1796.53,1195707.71,32384.4,2.7838
2020-02-03,2020-01-31,2020-02-03,2020-02-03,000100,유한양행,fallback,32,35723.7139,36784.3867,take_profit,0,1143158.84,171.47,176.57,1765.65,1175158.16,31827.84,2.7838
2020-02-03,2020-01-31,2020-02-03,2020-02-03,082740,한화엔진,fallback,374,3050.915,3141.4997,take_profit,0,1141042.21,171.16,176.24,1762.38,1172982.27,31768.91,2.7838
2020-02-10,2020-02-07,2020-02-10,2020-02-12,008770,호텔신라,fallback,19,90827.24,93523.9916,take_profit,2,1725717.56,258.86,266.54,2665.43,1774023.86,48047.45,2.7838
