trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-11,2026-06-11T09:32:20,0165435,120110,BUY,8,68400,547200,80.0,0.0,80.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,8,547200,68400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:32:21,0165452,120110,SELL,8,68800,550400,80.0,1100.0,1180.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,8,547200,68400.0,8,550400,3200.0,1940.0,0.5848,0.3545,CLOSED
2026-06-11,2026-06-11T09:35:40,0172434,005090,BUY,11,49850,548350,80.0,0.0,80.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,11,548350,49850.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:35:40,0172443,005090,SELL,11,50300,553300,70.0,1104.0,1174.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,11,548350,49850.0,11,553300,4950.0,3696.0,0.9027,0.6740,CLOSED
2026-06-11,2026-06-11T09:38:07,0177243,323410,BUY,14,22925,320950,40.0,0.0,40.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,14,320950,22925.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:38:07,0177254,323410,SELL,14,23100,323400,30.0,641.0,671.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,14,320950,22925.0,14,323400,2450.0,1739.0,0.7634,0.5418,CLOSED
2026-06-11,2026-06-11T09:40:42,0181657,499790,BUY,3,51500,154500,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,3,154500,51500.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:40:42,0181672,499790,SELL,3,51800,155400,20.0,310.0,330.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,3,154500,51500.0,3,155400,900.0,550.0,0.5825,0.3560,CLOSED
2026-06-11,2026-06-11T09:43:16,0186496,181710,BUY,8,39400,315200,40.0,0.0,40.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,8,315200,39400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:43:17,0186503,181710,SELL,8,39700,317600,40.0,634.0,674.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,8,315200,39400.0,8,317600,2400.0,1686.0,0.7614,0.5349,CLOSED
2026-06-11,2026-06-11T09:45:47,0190607,000430,BUY,40,5250,210000,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,40,210000,5250.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:48:37,0194516,016380,BUY,22,5550,122100,10.0,0.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,22,122100,5550.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:48:37,0194522,016380,SELL,22,5570,122540,10.0,243.0,253.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,22,122100,5550.0,22,122540,440.0,177.0,0.3604,0.1450,CLOSED
2026-06-11,2026-06-11T09:53:50,0203338,000370,BUY,12,6130,73560,10.0,0.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,12,73560,6130.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:53:51,0203351,000370,SELL,12,6180,74160,10.0,148.0,158.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,12,73560,6130.0,12,74160,600.0,432.0,0.8157,0.5873,CLOSED
2026-06-11,2026-06-11T09:54:29,0204486,000430,SELL,40,5010,200400,30.0,400.0,430.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,40,210000,5250.0,40,200400,-9600.0,-10050.0,-4.5714,-4.7857,CLOSED
2026-06-11,2026-06-11T09:54:36.892516,0190730,000430,SELL,40,5280,211200,31.68,380.16,411.84000000000003,sell_reconciliation,77672,1269972,1269972,717926,-130.04822061929622,40,210000,5250.0,80,411600,201600.0,200738.16,96.0000,95.5896,CLOSED
2026-06-11,2026-06-11T09:57:13,0209452,323410,BUY,15,22900,343500,50.0,0.0,50.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,29,664450,22912.069,14,323400,2631.0345,1870.0345,0.8202,0.5830,OPEN
2026-06-11,2026-06-11T09:57:22,0209726,323410,SELL,15,23000,345000,50.0,689.0,739.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,29,664450,22912.069,29,668400,3950.0,2450.0,0.5945,0.3687,CLOSED
2026-06-11,2026-06-11T10:03:06,0220078,092200,BUY,41,9230,378430,50.0,0.0,50.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,41,378430,9230.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T10:03:07,0220092,092200,SELL,41,9290,380890,40.0,759.0,799.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,41,378430,9230.0,41,380890,2460.0,1611.0,0.6501,0.4257,CLOSED
2026-06-11,2026-06-11T10:05:30,0224269,016380,BUY,1,5570,5570,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,23,127670,5550.8696,22,122540,420.8696,157.8696,0.3446,0.1293,OPEN
2026-06-11,2026-06-11T10:05:30,0224282,016380,SELL,1,5590,5590,0.0,10.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,23,127670,5550.8696,23,128130,460.0,187.0,0.3603,0.1465,CLOSED
2026-06-11,2026-06-11T10:10:47,0232976,005090,BUY,2,50700,101400,10.0,0.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,13,649750,49980.7692,11,553300,3511.5385,2247.5385,0.6387,0.4088,OPEN
2026-06-11,2026-06-11T10:10:47,0232990,005090,SELL,2,50900,101800,10.0,202.0,212.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,13,649750,49980.7692,13,655100,5350.0,3874.0,0.8234,0.5962,CLOSED
2026-06-11,2026-06-11T10:13:27,0238068,323410,BUY,4,23050,92200,10.0,0.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,33,756650,22928.7879,29,668400,3465.1515,1955.1515,0.5211,0.2940,OPEN
2026-06-11,2026-06-11T10:13:27,0238079,323410,SELL,4,23150,92600,10.0,184.0,194.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,33,756650,22928.7879,33,761000,4350.0,2646.0,0.5749,0.3497,CLOSED
2026-06-11,2026-06-11T10:16:13,0243365,016380,BUY,11,5600,61600,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,34,189270,5566.7647,23,128130,94.4118,-178.5882,0.0737,-0.1395,OPEN
2026-06-11,2026-06-11T10:16:14,0243378,016380,SELL,11,5620,61820,0.0,122.0,122.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,34,189270,5566.7647,34,189950,680.0,285.0,0.3593,0.1506,CLOSED
2026-06-11,2026-06-11T10:22:04,0253226,000430,BUY,8,5070,40560,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,48,250560,5220.0,80,411600,161040.0,160178.16,64.2720,63.9281,CLOSED
2026-06-11,2026-06-11T10:22:10,0253391,000430,SELL,8,5090,40720,0.0,81.0,81.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,48,250560,5220.0,88,452320,201760.0,200817.16,80.5236,80.1473,CLOSED
2026-06-11,2026-06-11T10:25:31,0258021,181710,BUY,1,39750,39750,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,9,354950,39438.8889,8,317600,2088.8889,1374.8889,0.6621,0.4358,OPEN
2026-06-11,2026-06-11T10:28:30,0261558,000430,BUY,10,5030,50300,0.0,0.0,0.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,58,300860,5187.2414,88,452320,151460.0,150517.16,50.3424,50.0290,CLOSED
2026-06-11,2026-06-11T10:48:37,0283913,217590,BUY,16,24950,399200,50.0,0.0,50.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,16,399200,24950.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T10:48:37,0283922,217590,SELL,16,25050,400800,60.0,801.0,861.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,16,399200,24950.0,16,400800,1600.0,689.0,0.4008,0.1726,CLOSED
2026-06-11,2026-06-11T10:51:47,0287061,001450,BUY,11,37400,411400,60.0,0.0,60.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,11,411400,37400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T10:52:18,0287558,001450,SELL,11,37550,413050,60.0,825.0,885.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,11,411400,37400.0,11,413050,1650.0,705.0,0.4011,0.1714,CLOSED
2026-06-11,2026-06-11T10:55:15,0290316,161390,BUY,3,72300,216900,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,3,216900,72300.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T10:55:15,0290335,161390,SELL,3,72500,217500,30.0,434.0,464.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,3,216900,72300.0,3,217500,600.0,106.0,0.2766,0.0489,CLOSED
2026-06-11,2026-06-11T11:07:11,0302163,066570,BUY,1,212500,212500,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,1,212500,212500.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T11:07:12,0302170,066570,SELL,1,213500,213500,30.0,426.0,456.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,1,212500,212500.0,1,213500,1000.0,514.0,0.4706,0.2419,CLOSED
2026-06-11,2026-06-11T11:16:52,0311969,035420,BUY,1,221500,221500,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,1,221500,221500.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T11:16:53,0311976,035420,SELL,1,222500,222500,30.0,444.0,474.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,1,221500,221500.0,1,222500,1000.0,496.0,0.4515,0.2239,CLOSED
2026-06-11,2026-06-11T11:20:05,0315094,217590,BUY,9,24100,216900,30.0,0.0,30.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,25,616100,24644.0,16,400800,6496.0,5555.0,1.6475,1.4088,OPEN
2026-06-11,2026-06-11T11:23:34,0318903,003160,BUY,5,28350,141750,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,5,141750,28350.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T11:23:34,0318912,003160,SELL,5,28500,142500,20.0,284.0,304.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,5,141750,28350.0,5,142500,750.0,426.0,0.5291,0.3005,CLOSED
2026-06-11,2026-06-11T11:27:16,0322972,000430,SELL,10,4800,48000,0.0,96.0,96.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,58,300860,5187.2414,98,500320,199460.0,198421.16,66.2966,65.9513,CLOSED
2026-06-11,2026-06-11T11:27:31.218346,0261570,000430,SELL,10,5050,50500,7.575,90.9,98.47500000000001,sell_reconciliation,95344,1232504,1232504,680458,-123.26110505283981,58,300860,5187.2414,108,550820,249960.0,248822.685,83.0818,82.7038,CLOSED
2026-06-11,2026-06-11T11:30:41,0326354,499790,BUY,3,50200,150600,20.0,0.0,20.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,6,305100,50850.0,3,155400,2850.0,2480.0,1.8682,1.6257,OPEN
2026-06-11,2026-06-11T11:30:41,0326361,499790,SELL,3,50600,151800,20.0,302.0,322.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,6,305100,50850.0,6,307200,2100.0,1408.0,0.6883,0.4615,CLOSED
2026-06-11,2026-06-11T11:34:01,0329092,161390,BUY,1,71800,71800,10.0,0.0,10.0,eod_reconciliation,550703,550703,550703,-1343,0.2432768283802437,4,288700,72175.0,3,217500,975.0,471.0,0.4503,0.2175,OPEN
