trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-26,2026-06-26T09:30:42,BUY-2026-06-26-081660-20260626T093042,081660,BUY,11,38300,421300,63.195,0.0,63.195,backtest_replay,,,,,,,11,421300,38300.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:54:10,SELL-2026-06-26-081660-20260626T095410,081660,SELL,11,38900,427900,64.185,770.22,834.405,backtest_replay,,,,,,,11,421300,38300.0,11,427900,6600.0,5702.4,1.5666,1.3535,CLOSED
2026-06-26,2026-06-26T09:54:46,BUY-2026-06-26-081660-20260626T095446,081660,BUY,11,38900,427900,64.185,0.0,64.185,backtest_replay,,,,,,,22,849200,38600.0,11,427900,3300.0,2338.215,0.7772,0.5507,OPEN
2026-06-26,2026-06-26T10:00:51,SELL-2026-06-26-081660-20260626T100051,081660,SELL,11,39250,431750,64.7625,777.15,841.9125,backtest_replay,,,,,,,22,849200,38600.0,22,859650,10450.0,8646.3025,1.2306,1.0182,CLOSED
2026-06-26,2026-06-26T10:00:57,BUY-2026-06-26-001340-20260626T100057,001340,BUY,71,6110,433810,65.0715,0.0,65.0715,backtest_replay,,,,,,,71,433810,6110.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:00:57,BUY-2026-06-26-192080-20260626T100057,192080,BUY,7,59800,418600,62.79,0.0,62.79,backtest_replay,,,,,,,7,418600,59800.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:01:40,SELL-2026-06-26-001340-20260626T100140,001340,SELL,71,6170,438070,65.7105,788.526,854.2365,backtest_replay,,,,,,,71,433810,6110.0,71,438070,4260.0,3340.692,0.9820,0.7701,CLOSED
2026-06-26,2026-06-26T10:08:33,BUY-2026-06-26-009970-20260626T100833,009970,BUY,2,165400,330800,49.62,0.0,49.62,backtest_replay,,,,,,,2,330800,165400.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:08:33,SELL-2026-06-26-192080-20260626T100833,192080,SELL,7,60400,422800,63.42,761.04,824.4599999999999,backtest_replay,,,,,,,7,418600,59800.0,7,422800,4200.0,3312.75,1.0033,0.7914,CLOSED
2026-06-26,2026-06-26T11:16:15,SELL-2026-06-26-009970-20260626T111615,009970,SELL,2,167600,335200,50.28,603.36,653.64,backtest_replay,,,,,,,2,330800,165400.0,2,335200,4400.0,3696.74,1.3301,1.1175,CLOSED
2026-06-26,2026-06-26T11:20:12,BUY-2026-06-26-029780-20260626T112012,029780,BUY,9,46050,414450,62.1675,0.0,62.1675,backtest_replay,,,,,,,9,414450,46050.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T14:14:32,SELL-2026-06-26-029780-20260626T141432,029780,SELL,9,45350,408150,61.2225,734.67,795.8924999999999,backtest_replay,,,,,,,9,414450,46050.0,9,408150,-6300.0,-7158.06,-1.5201,-1.7271,CLOSED
